,Momentum_FinalValue,Momentum_CAGR,MeanRev_FinalValue,MeanRev_CAGR
AAPL,100127.78158056638,0.00014195294846319761,100076.9691410736,8.552454918375751e-05
MSFT,100336.35839621168,0.00037331601314471996,100013.14786628491,1.4613443631628087e-05
SPY,100215.45418271987,0.00023925559929383056,100189.47930995397,0.00021043550999988447
